Query,Title,ID,Similarity,Release_Date,Developer,Summary,Platforms,Genres,Rating,Plays,Playing,Backlogs,Wishlist,Lists,Reviews
the witcher 3,Thronebreaker: The Witcher Tales,2744,0.39727373242126046,"Oct 23, 2018",CD Projekt RED,"Thronebreaker is a single player role-playing game set in the world of The Witcher that combines narrative-driven exploration with unique puzzles and card battle mechanics.
This game spins a truly regal tale of Meve, a war-veteran and queen of two Northern Realms - Lyria and Rivia. Facing an imminent Nilfgaardian invasion, Meve is forced to once again enter the warpath and set out on a dark journey of destruction and revenge.",Windows PC | Android | PlayStation 4 | iOS | Xbox One | Nintendo Switch,Adventure | Card & Board Game | Puzzle | RPG | Strategy | Turn Based Strategy,3.8,645.0,40.0,357.0,131.0,107.0,49.0
the witcher 3,The Witcher 3: Wild Hunt - Hearts of Stone,1276,0.36864213541172086,"Oct 12, 2015",CD Projekt RED,"Step again into the shoes of Geralt of Rivia, a professional monster slayer, this time hired to defeat a ruthless bandit captain, Olgierd von Everec, a man who possesses the power of immortality.
This expansion to ""The Witcher 3: Wild Hunt"" packs over 10 hours of new adventures, introducing new characters, powerful monsters, unique romance and a brand new storyline shaped by your choices.",Windows PC | PlayStation 4 | Xbox One | PlayStation 5 | Nintendo Switch | Xbox Series,Adventure | RPG,4.4,3600.0,40.0,566.0,118.0,184.0,96.0
the witcher 3,The Witcher 3: Wild Hunt - Game of the Year Edition,470,0.33545512868971344,"Aug 29, 2016",CD Projekt RED | CD Projekt,"Become a professional monster slayer and embark on an adventure of epic proportions! Upon its release, The Witcher 3: Wild Hunt became an instant classic, claiming over 250 Game of the Year awards. Now you can enjoy this huge, over 100-hour long, open-world adventure along with both its story-driven expansions worth an extra 50 hours of gameplay. This edition includes all additional content - new weapons, armor, companion outfits, new game mode and side quests.",Windows PC | PlayStation 4 | Xbox One,Adventure | RPG,4.5,7000.0,435.0,2500.0,535.0,539.0,272.0
the witcher 3,The Witcher 3: Wild Hunt - Complete Edition,1235,0.30056605487490257,"Aug 29, 2016",CD Projekt RED,"The Witcher 3: Wild Hunt is a story-driven, open world adventure set in a dark fantasy universe.
You are Geralt of Rivia, mercenary monster slayer. At your disposal is every tool of the trade: razor-sharp swords, lethal mixtures, stealthy crossbows, and powerful combat magic. Before you stands a war-torn, monster-infested continent you can explore at will. Your current contract? Tracking down the Child of Prophecy, a living weapon that can alter the shape of the world.
The Complete Edition contains every piece of downloadable content released for the game, including two massive story expansions: Hearts of
Stone & Blood and Wine. It's the perfect opportunity to enter this world for the first time or relive the adventure - on the go!",Windows PC | PlayStation 4 | Xbox One | PlayStation 5 | Nintendo Switch | Xbox Series,Adventure | RPG,4.4,1300.0,150.0,603.0,151.0,204.0,56.0
the witcher 3,The Witcher: Enhanced Edition,1133,0.29664605526713356,"Sep 16, 2008",CD Projekt RED | Atari,"Based on the novels by a popular Polish writer Andrzej Sapkowski, The Witcher is an action-oriented, epic fantasy RPG that takes players on a journey through a world which in many ways mirrors our own. Take on the role of Geralt of Rivia, a professional monster hunter, as he embarks on a quest of self-discovery and revenge.
The game's time-delayed decision-consequence system ensures that the consequences of your choices will become apparent only in the following chapters of Geralt's story, discouraging returns to a previous save point.
The Enhanced Edition includes technical and gameplay improvements that bring shorter loading times, more natural animations, and improved inventory, among others. Two new adventures titled The Price of Neutrality and Side Effects will extend players' enjoyment of the game. Finally, the ""D'jinni Adventure Editor"" enables players to create their adventures and shared them with others.",Windows PC | Mac,Adventure | RPG,3.3,3200.0,120.0,1600.0,200.0,253.0,102.0
the witcher 3,Knights of Light: The Prologue,12104,0.2517131037783804,"Feb 29, 2020",Rumbling Games Studio,Action adventure role playing game during medieval age in Middle East. Story is based on a historical battle at the 7th century in Iraq. Inspired by The Witcher and Mount & Blade with a rich story with two playable characters. Relive the battle events and lead your troops to victory.,Windows PC,Adventure | RPG,,0.0,0.0,0.0,1.0,2.0,0.0
the witcher 3,ThanksKilling Day,26944,0.1907968413360238,"Oct 31, 2022",Out Of Controller Games,"The boy, who was about to celebrate Thanksgiving Day with his family, finds himself stuck in a house with a dangerous stranger who seems to be responsible for his parent's disappearance.
A bleak, cold, and dark night was certainly the perfect setting for the sinister events, that you will be forced to witness for yourself!
Run, Hide, Solve Survive!
Featuring an incredible voice cast including Doug Cockle (Geralt from the Witcher series), Sandy Johnson (1978's Halloween), Christopher Murray (twin peaks, parks and rec), CinnamonToastKen (Professional Youtuber) & many more!",Windows PC,Adventure | Indie,,1.0,0.0,0.0,0.0,0.0,0.0
the witcher 3,Seeds of Chaos,28951,0.14116729951792706,"Jan 31, 2020",Venus Noire | TinyHat Studios,"Not your average visual novel, Seeds of Chaos is a sexy dark fantasy tale with RPG & Strategy elements. Become an active participant in the story, making choices which impact your experience and shape the direction of the narrative.
Seeds of Chaos is a dark fantasy eroge made in Ren'py, inspired by the worldbuilding of Berserk, Dark Souls, The Witcher and other epic fantasy series', as well as the adult games Corruption of Champions, Legend of Queen Opala, and Slavemaker. The game is set in The Six Realms, the westernmost continent in the world of Solanse. Seven years have passed since the last Demon War, and the defeat of Lord Karnas at the hands of the forces of Light ushered in a new era of peace and prosperity for all the races of the six kingdoms. Evil never lies dormant for long, however, and in the shadows new threats to the tenuous peace begin to stir.",Windows PC,Adventure | RPG | Visual Novel,2.9,7.0,0.0,5.0,7.0,2.0,0.0
Wild hunt,Wild Turkey Hunt,18249,0.6075679186154568,"Dec 31, 1999",Sunstorm Interactive,,Windows PC,Adventure | Simulator,,0.0,0.0,0.0,0.0,1.0,0.0
Wild hunt,The Witcher 3: Wild Hunt - New Quest 'Contract: Skellige's Most Wanted',6219,0.47269988306063226,"Jun 23, 2015",CD Projekt RED,Contract: Skellige's Most Wanted is a contract quest in The Witcher 3: Wild Hunt. A monster hunt like no other - can you survive it?,Windows PC | PlayStation 4 | Xbox One,RPG,4.2,20.0,0.0,4.0,2.0,7.0,0.0
Wild hunt,WiLD,8322,0.46841110279260056,TBD,,,,,,0.0,0.0,0.0,1.0,0.0,0.0
Wild hunt,Wild world,28576,0.43722733980395667,"Apr 25, 2021",,"This is Wild World, there is danger at every step.",Windows PC,Adventure | Indie,,0.0,0.0,0.0,1.0,0.0,0.0
Wild hunt,Prop Hunt Portable,11246,0.42030980175048227,TBD,,,,,,3.0,0.0,1.0,0.0,2.0,0.0
Wild hunt,The Wild Life - The Game,29607,0.4170574636550023,TBD,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Wild hunt,Dead Man's Rest,36401,0.4046740926706245,"Jun 12, 2021",Gallium Games | Argent Games,"A Wild West BxB story of love, murder, and revenge. Play as Lee ""Blackjack"" McCarthy on his hunt for the elusive Wild Bill—until a mysterious killing shatters all his plans.",Windows PC | Mac | Linux,Visual Novel,,2.0,0.0,0.0,3.0,3.0,0.0
Wild hunt,Daemonologie,28746,0.38793257199624226,TBD,,A Scottish Witch Hunt,,,,2.0,0.0,2.0,2.0,3.0,0.0
Wild hunt,The Wild Hunter,29795,0.3845247385749209,TBD,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Wild hunt,Ninja Girl and the Mysterious Army of Urban Legend Monsters! ~Hunt of the Headless Horseman~,27823,0.3698584256594827,"Jun 24, 2019",Sekai Project,"In a world where monsters thrive and wraiths run wild, and ghouls and ghosts roam the streets, there exist those who hunt the creatures that do humans harm.",Windows PC,Indie,4.3,3.0,0.0,0.0,2.0,3.0,1.0
Wild hunt,Wild Gunman,26859,0.36388913509765747,"Feb 18, 1984",Nintendo,Wild Gunman is a light gun shooter game created by Nintendo.,Wii U | Arcade | NES,Arcade | Shooter,2.7,213.0,0.0,24.0,10.0,45.0,9.0
Wild hunt,Reptiles: In Hunt,8753,0.35874967324416535,"Jul 29, 2021",Corpix Games | Games Operators,"Reptiles: In Hunt gives you the opportunity to face dangerous dinosaurs in world that has fallen. It is a mix of survival and action. Hunt, explore, acquire resources, build new weapons and fight with huge reptiles and dangerous neo humans.",Windows PC,Brawler | Indie | Shooter | Simulator,,1.0,0.0,0.0,1.0,0.0,0.0
Wild hunt,Wild Wild Racing,36337,0.3501042663449893,"Oct 26, 2000",Rage Software,"It was one of the first games released on the PlayStation 2 and was released on the same day as the console in the US and Europe on October 26, 2000 and November 24, 2000 respectively. Wild Wild Racing allows players to compete in all-terrain vehicle races in various countries around the globe. There are five locations in the game: United States, India, Iceland, Mexico and Australia",PlayStation 2,Racing | Sport,2.8,10.0,0.0,1.0,0.0,11.0,2.0
Wild hunt,TheHunter: Call of the Wild,36125,0.34862602362741746,"Feb 16, 2017",Avalanche Studios | Expansive Worlds,"Never before have you experienced a hunting game like theHunter: Call of the Wild. Plunge into an atmospheric open world, teeming with life: from the majestic true-to-life animals to the rustling of leaves above you as you stalk your prey. You can decide to hunt on your own or join up and hunt together with friends. Just remember, you are not just a visitor in this world, you are a living and breathing part of it. As you finally spot the majestic crown of your first red deer through the brush, the feeling is indescribable.",Windows PC | PlayStation 4 | Xbox One,Adventure | Shooter | Simulator | Sport | Strategy,2.9,414.0,21.0,291.0,30.0,85.0,26.0
Wild hunt,The Wild Science Arcade,31051,0.34828645022426596,TBD,,,,Simulator,,0.0,0.0,0.0,0.0,0.0,0.0
Wild hunt,Rodem the Wild,19293,0.3464714984215587,"Dec 01, 2016",,,PlayStation Vita,,,1.0,0.0,1.0,1.0,0.0,0.0
Wild hunt,The Witcher 3: Wild Hunt - Hearts of Stone,1276,0.3422500323806753,"Oct 12, 2015",CD Projekt RED,"Step again into the shoes of Geralt of Rivia, a professional monster slayer, this time hired to defeat a ruthless bandit captain, Olgierd von Everec, a man who possesses the power of immortality.
This expansion to ""The Witcher 3: Wild Hunt"" packs over 10 hours of new adventures, introducing new characters, powerful monsters, unique romance and a brand new storyline shaped by your choices.",Windows PC | PlayStation 4 | Xbox One | PlayStation 5 | Nintendo Switch | Xbox Series,Adventure | RPG,4.4,3600.0,40.0,566.0,118.0,184.0,96.0
Wild hunt,Wyatt Derp,11420,0.3406527322274627,TBD,,A shooter set in the wild west.,,,,2.0,0.0,0.0,0.0,0.0,0.0
Wild hunt,Dinosaur Hunt First Blood,10964,0.32826380326143967,"Sep 29, 2017",Racing Bros,Dinosaur Hunt First Blood is a sequel to a first Dinosaur Hunt game and is a chaotic first person shooter that confronts heavily armed players with the most horrifying dino-humans.,Windows PC | Mac | Linux,Indie,,3.0,0.0,2.0,0.0,0.0,0.0
Wild hunt,Kirikou and the Wild Beasts,14752,0.32472892567396344,"Mar 16, 2007",emme,"Adapted from the famous movie by Michel Ocelot and Benedict Galup, Kirikou and the Wild Beasts puts you in the shoes of a hero who must face the dangers hanging over his people. Jump from platform to platform to protect the village from the wild animals of the savannah. But beware, Karaba the witch is never far away…",PlayStation 2,Adventure | Platform,,1.0,0.0,2.0,2.0,2.0,1.0
Assassin's Creed,Assassin's Creed: Bloodlines,2746,0.7933494559880234,"Nov 17, 2009",Griptonite Games | Ubisoft Entertainment,Assassin’s Creed: Bloodlines on PSP is the first Assassin’s Creed game on the PSP system. It follows the story of Altair right after the events of Assassin’s Creed as Altair tracks down the last Templars who fled the Holy Land and retreated to the Island of Cyprus.,PlayStation Portable,Adventure,2.4,1000.0,5.0,166.0,84.0,110.0,34.0
Assassin's Creed,Assassin's Creed: Ezio Trilogy,9961,0.7810518147956345,"Mar 15, 2012",Ubisoft Montreal,"Assassin's Creed: Ezio Trilogy is a collection of the three main series Assassin's Creed games that feature Ezio Auditore da Firenze: Assassin's Creed II, Assassin's Creed: Brotherhood, and Assassin's Creed: Revelations. The Bonfire of the Vanities, the Battle of Forlì, and the exclusive black 'Bonus Skin'. DLC for Assassin's Creed II is only available with the PS3 version; The xbox 360 version only includes the original games.
The Ezio Trilogy was released for PC in German language only.",Windows PC | Xbox 360 | PlayStation 3,Adventure,4.2,123.0,11.0,51.0,11.0,31.0,6.0
Assassin's Creed,Assassin's Creed: Revelations - Ultimate Edition,9722,0.70652820970936,"Dec 31, 2011",Ubisoft,"This Ultimate Edition contains: 

- Assassin's Creed: Revelations 
- Assassin's Creed: Revelations - The Ancestors Character Pack 
- Assassin's Creed: Revelations - Mediterranean Traveler Map Pack 
- Assassin's Creed: Revelations - The Lost Archive",Xbox 360 | PlayStation 3,Adventure,3.2,40.0,0.0,3.0,2.0,0.0,1.0
Assassin's Creed,Assassin's Creed: Revelations - Gold Edition,18130,0.6946290649244391,"Dec 31, 2011",Ubisoft,"The Gold Edition contains the main game and also the three available DLC's. So the games within this compilation are:
- Assassin's Creed: Revelations
- Assassin's Creed: Revelations - The Ancestors Character Pack
- Assassin's Creed: Revelations - Mediterranean Traveler Map Pack
- Assassin's Creed: Revelations - The Lost Archive",Windows PC | Xbox 360 | PlayStation 3,Adventure,3.3,30.0,0.0,9.0,0.0,0.0,0.0
Assassin's Creed,Assassin's Creed: The Ezio Collection,3532,0.6939743764009452,"Nov 15, 2016",Ubisoft Montreal | Ubisoft,"Make history as the legendary Master Assassin, Ezio Auditore da Firenze, in Assassin’s Creed The Ezio Collection, which includes the acclaimed single-player campaigns and single-player add-on content (no multiplayer content) from Assassin’s Creed II, Assassin’s Creed Brotherhood, and Assassin’s Creed Revelations with enhanced
graphics.
Live the life of Ezio and learn the ways of the Assassin as he seeks vengeance for the betrayal of his family. Travel through 15th-century Renaissance Italy, including the capital Rome and finally onto 16th-century Constantinople.",PlayStation 4 | Xbox One | Nintendo Switch,Adventure | Puzzle,4.1,724.0,58.0,302.0,97.0,98.0,31.0
Assassin's Creed,Assassin's Creed III: Liberation,4761,0.660916594752979,"Oct 30, 2012",Ubisoft Sofia | Ubisoft Entertainment,"Introducing Assassin’s Creed Liberation HD, the striking chapter of the pre-American Revolution Assassin’s Creed saga which arrives for the first time on HD consoles and PC. With improved gameplay, a deeper story, and HD graphics, Liberation is an immersive and full Assassin’s Creed experience.",Windows PC | Xbox 360 | PlayStation 3 | PlayStation Vita,Adventure | Brawler | Strategy,2.6,644.0,5.0,178.0,55.0,90.0,23.0
Assassin's Creed,Assassin's Creed Identity,36069,0.6553320947590229,"Sep 30, 2014",Ubisoft Entertainment | Blue Byte,"Assassin's Creed: Identity is the first Assassin’s Creed Action RPG game for mobile devices that lets you create, evolve and customize your own Assassins and play them in Fan’s favorite setting: Renaissance Italy.
Embody an Assassin and experience the freedom of movement that made the franchise unique while unraveling the mystery of The Crows and solving dozens of quests.",Android | iOS,Adventure | RPG,1.7,52.0,0.0,7.0,8.0,12.0,2.0
Assassin's Creed,Assassin's Creed Origins,390,0.6511676754344403,"Oct 26, 2017",Ubisoft Montreal | Ubisoft Entertainment,"For the last four years, the team behind Assassin’s Creed IV Black Flag has been crafting a new beginning for the Assassin’s Creed franchise.
Set in Ancient Egypt, players will journey to the most mysterious place in history, during a crucial period that will shape the world and give rise to the Assassin’s Brotherhood. Plunged into a living, systemic and majestic open world, players are going to discover vibrant ecosystems, made of diverse and exotic landscapes that will provide them with infinite opportunities of pure exploration, adventures and challenges.
Powered by a new fight philosophy, Assassin's Creed Originsembraces a brand new RPG direction where players level up, loot, and choose abilities to shape and customize their very own skilled Assassin as they grow in power and expertise while exploring the entire country of Ancient Egypt.",Windows PC | PlayStation 4 | Xbox One | Google Stadia,Adventure | RPG,3.4,8500.0,357.0,2300.0,782.0,926.0,334.0
Assassin's Creed,Assassin's Creed Revelations,533,0.6483454943299476,"Nov 14, 2011",Ubisoft Montreal | Ubisoft Entertainment,"Assassin's Creed Revelations presents the most immersive experience available in the series to date and the culmination of Ezio's adventure. In Assassin's Creed Revelations, master assassin Ezio Auditore walks in the footsteps of his legendary mentor, Altair, on a journey of discovery and revelation. It is a perilous path - one that will take Ezio to Constantinople, the heart of the Ottoman Empire, where a growing army of Templars threatens to destabilize the region.
In addition to Ezio's award-winning story, the acclaimed online multiplayer experience from Assassin's Creed Brotherhood returns; refined and expanded, with more modes, more maps and more characters that allow players to test their assassin skills against others from around the world. The latest chapter in the Assassin's Creed saga also includes revolutionary gameplay, allowing players to manipulate the construct of Desmond's memories and the Animus to decipher the mysteries of his past and gain insight into the future.",Windows PC | Xbox 360 | PlayStation 3,Adventure,3.3,9900.0,64.0,1200.0,394.0,743.0,284.0
Assassin's Creed,Assassin's Creed: Codename Red,3033,0.6340648120901358,TBD,Ubisoft Québec | Ubisoft Entertainment,"Codename Red, which is being made by Assassin's Creed Odyssey developer Ubisoft Quebec and has the same creative director, is the next big, Valhalla-like flagship title in the franchise, set in Feudal Japan. This project is said to allow players to ""experience the full Shinobi fantasy"" in this long-requested setting for the series. Its launch begins what Ubisoft is calling “period three” in the Assassin’s Creed series, and will launch into the Assassin's Creed InfinityY Hub.
Players will experience the full Shinobi fantasy in this open world RPG title set during Feudal Japan: Assassin’s Creed Codename Red.",Windows PC | PlayStation 5 | Xbox Series,,,1.0,0.0,19.0,115.0,30.0,1.0
Assassin's Creed,Assassin's Creed,269,0.5822275576356144,"Nov 13, 2007",Ubisoft Montreal | Ubisoft Entertainment,"Assassin's Creed is a non-linear action-adventure video game, during which the player controls a 12th-century Levantine Assassin named Altaïr Ibn-La'Ahad during the Third Crusade, whose life is experienced through the Animus by his 21st century descendant, Desmond Miles.",Windows PC | Xbox 360 | PlayStation 3,Adventure | Platform,2.9,15000.0,130.0,1400.0,574.0,930.0,465.0
Assassin's Creed,Assassin's Creed: Rebellion,40936,0.5770871834788159,"Nov 21, 2018",Behaviour Interactive,"Join Ezio, Aguilar, Shao Jun and other legendary Assassins in new adventures! Build your own Brotherhood and infiltrate the Templars’ strongholds in the first Strategy-RPG of the Assassin's Creed universe.""
Assassin’s Creed Rebellion is a completely new free-to-play standalone mobile game based on the lore of the Assassin’s Creed saga. Set during the Spanish Inquisition, Assassin’s Creed Rebellion will feature famous Assassins such as the beloved Ezio, Aguilar or Shao Jun and other legendary Assassins who will help them build a new Brotherhood.
In this RPG-Strategy mobile game, players will be able to build, manage and develop their own Brotherhood by recruiting, collecting and improving skills of their Assassins while completing thrilling missions to infiltrate the Templar’s strongholds and defeat their plans.",Android | iOS,Simulator,1.8,68.0,0.0,6.0,2.0,10.0,0.0
Assassin's Creed,Assassin's Creed Infinity,10906,0.5718357504388007,TBD,Ubisoft Québec,,,,,4.0,1.0,4.0,26.0,13.0,0.0
Assassin's Creed,Assassin's Creed: Origins - God's Edition,25887,0.5427483070635761,"Oct 27, 2017",,"Unveil forgotten myths of the mighty Egyptian Gods with the Assassin’s Creed Origins – Gods Collector’s Edition. Featuring Bayek, a protector of Egypt whose personal story will lead to the creation of the Assassin’s Brotherhood, standing on the statue of Sekhmet, the lioness goddess.
Gods Editions content:
High-end: Bayek’s on Sekhmet Goddess statue (height 26cm) - By Ubicollectibles.
Premium Egyptian Gods themed package.
The Assassin’s Creed Origins Standard Edition, the Digital Deluxe Pack and an additional mission.
The game’s art book: Featuring the artworks from Ubisoft Montreal artists that lead to the creation of the game.
The world map: Explore the Egypt of Assassin’s Creed Origins with this hand-drawn artistic representation.
The game’s official soundtrack.",Windows PC | PlayStation 4 | Xbox One,Adventure | RPG,,3.0,0.0,0.0,0.0,0.0,0.0
Assassin's Creed,Assassin's Creed Rogue,1105,0.5278543201971515,"Nov 11, 2014",Ubisoft Sofia,"1751. North America. Amidst the chaos and violence of the French and Indian War, Shay Patrick Cormac, a fearless young member of the Assassins order, undergoes a dark transformation that will shape the future of the brotherhood forever. After arguing over a dangerous mission gone tragically wrong, Shay is betrayed by the Assassins who attempt to end his life. Cast aside by those he once called brothers, Shay sets out on a mission to wipe out all who turned against him and ultimately become the most feared Assassin hunter in history. Introducing Assassinâ€™s Creed Rogue, the darkest chapter in the Assassinâ€™s Creed franchise yet. As Shay, you will experience the slow transformation from Assassin to Assassin Hunter. Follow your own creed and set off on an extraordinary journey through New York City, the wild river valley, and far away to the icy cold waters of the North Atlantic in pursuit of your ultimate goal to bring down the Assassins.",Windows PC | Xbox 360 | PlayStation 3 | Nintendo Switch,Adventure | RPG,3.2,3900.0,36.0,1000.0,393.0,457.0,149.0
Assassin's Creed,Assassin's Creed Syndicate: The Last Maharaja,27535,0.5249176077621757,"Mar 01, 2016",Ubisoft Québec,"The Last Maharaja is a single-player downloadable content addition for Assassin's Creed: Syndicate and was released on 1 March 2016. The content consists of ten missions in which Jacob and Evie Frye aid Duleep Singh, the youngest son of Ranjit Singh, in reclaiming his birthright as Maharaja.",Windows PC | PlayStation 4 | Xbox One,Adventure,2.5,76.0,0.0,18.0,7.0,13.0,3.0
Assassin's Creed,Final Fantasy XV: Assassin's Festival,33288,0.5242922355044102,"Aug 31, 2017",Square Enix,"Final Fantasy XV: Assassin's Festival was a free downloadable content event for Final Fantasy XV in collaboration with Ubisoft's Assassin's Creed series. It ran between August 31, 2017–January 31, 2018. The event featured gameplay from the Assassin's Creed series (such as stealth and climbing segments), mini-games (such as chocobo racing and ""whack-a-cactuar""), and a chance to obtain exclusive items, such as the ""Medjay Assassin's Robes"" attire for Noctis, Gladiolus, Ignis, and Prompto. If the player had the Dream Egg obtained from the Moogle Chocobo Carnival, the player could unlock the ""Master Assassin's Robes"" attire for Noctis.",PlayStation 4,RPG,3.3,22.0,0.0,1.0,1.0,2.0,0.0
Assassin's Creed,Assassin's Creed Syndicate: Jack the Ripper,6095,0.5238205312113507,"Dec 15, 2015",Ubisoft Entertainment | Ubisoft Québec,"Let the hunt begin... 20 years after the events of Assassin’s Creed Syndicate, ‘JACK THE RIPPER’ has embarked on a brutal reign of terror that shocks London to its core and threatens the very existence of the Brotherhood of Assassins.
Experience this chilling campaign and access additional exclusive content as part of the Assassin's Creed Syndicate Season Pass.",Windows PC | PlayStation 4 | Xbox One,Adventure,3.4,265.0,1.0,56.0,23.0,29.0,10.0
