Original Query,ID,BM25 Score,SBERT Score,rating_signal,popularity_signal,recency_signal,genre_match,platform_match,Label,rating_boost,popularity_boost,recency_boost,predicted_score,Title,Genres,Platforms,Rating,Release_Date
Anime-inspired ARPGs on Switch,10518,12.75237317595508,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.7171352385282964,Animal,Adventure,PC DOS,,"Dec 31, 1997"
Anime-inspired ARPGs on Switch,26294,27.13463316621933,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.7089144723407282,Bingo for Nintendo Switch,Puzzle,Nintendo Switch,,"Mar 15, 2018"
Anime-inspired ARPGs on Switch,8106,7.722649234557996,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.5914412428465903,Supercharged Robot Vulkaiser,Indie,Windows PC | Linux,3.2,"Jun 04, 2015"
Anime-inspired ARPGs on Switch,14604,14.379316060125364,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.5627626168936,Nintendo PowerFest '94,[],['SNES'],,"Dec 31, 1994"
Anime-inspired ARPGs on Switch,3109,0.0,0.3909316658973694,0.0,0.0,0.0,0,0,0,0,0,0,0.5513882447830005,Tetris DS,['Puzzle'],['Nintendo DS'],4.1,"Mar 20, 2006"
Anime-inspired ARPGs on Switch,36341,0.0,0.3898874521255493,0.0,0.0,0.0,0,0,0,0,0,0,0.5513882447830005,PictureBook Games: The Royal Bluff,['Quiz/Trivia'],['Nintendo DSi'],,"Sep 16, 2009"
Assassin's Creed,27422,7.845701207902429,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.5914412428465903,Assassin's Creed III: Liberation - Remastered,"['Adventure', 'RPG']","['Windows PC', 'PlayStation 4', 'Xbox One', 'Nintendo Switch']",2.4,"Mar 29, 2019"
Assassin's Creed,9082,7.741586893743453,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.5914412428465903,Assassin's Creed: Odyssey - Medusa Edition,"['Adventure', 'RPG']","['Windows PC', 'PlayStation 4', 'Xbox One']",,"Dec 31, 2018"
Assassin's Creed,9755,4.68156687408869,0.0,0.0,0.0,,0,0,0,0,0,0,-0.7803789596246402,,,,,
Assassin's Creed,37371,4.68156687408869,0.0,0.0,0.0,,0,0,0,0,0,0,-0.7803789596246402,,,,,
Assassin's Creed,21898,0.0,0.447485089302063,0.0,0.0,,1,1,0,0,0,0,-0.929499338224621,Dispel,[],[],,TBD
Assassin's Creed,6095,6.496367378091766,0.0,0.0,0.0,,0,0,0,0,0,0,-1.0733771020900909,,,,,
Assassin's Creed,24820,6.274985984676957,0.0,0.0,0.0,,0,0,0,0,0,0,-1.0733771020900909,,,,,
Assassin's Creed,38318,5.633374340531453,0.0,0.0,0.0,,0,0,0,0,0,0,-1.0965351535802232,,,,,
Assassin's Creed,12631,5.586293363956811,0.0,0.0,0.0,,0,0,0,0,0,0,-1.0965351535802232,,,,,
Assassin's Creed,29933,5.559919187748935,0.0,0.0,0.0,,0,0,0,0,0,0,-1.0965351535802232,,,,,
Best VR-exclusive games on Oculus Quest,18231,10.47302289897076,0.0,4.199999999999999,0.0,0.0,0,0,0,1,0,0,0.8671223013373826,Fire: Ungh's Quest,Adventure | Puzzle,Wii U | Nintendo Switch,2.8,"Oct 20, 2016"
Best VR-exclusive games on Oculus Quest,16146,14.20109631269365,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0.8404695805915561,Colmen's Quest,"['Adventure', 'Brawler', 'RPG', 'Turn Based Strategy']","['Windows PC', 'Mac', 'Linux']",,"Jun 26, 2020"
Best VR-exclusive games on Oculus Quest,5093,19.90531137197508,0.0,5.550000000000001,0.0,0.0,0,0,0,1,0,0,0.6909810635134948,Pavlov VR,Indie | Shooter,SteamVR | Oculus Quest 2 | Playstation VR2,3.7,"Feb 27, 2017"
Best VR-exclusive games on Oculus Quest,33263,0.0,0.2930441796779632,0.0,0.0,0.0,0,0,0,1,0,0,0.48118613696094853,The Hunger: Games Ensemble,['Indie'],['Windows PC'],,"Nov 03, 2020"
Best VR-exclusive games on Oculus Quest,19206,15.331509968347342,0.0,6.1499999999999995,0.0,0.0,0,0,0,1,0,0,0.43696362604222305,VTOL VR,Indie | Simulator,SteamVR,4.1,"Aug 03, 2017"
Best VR-exclusive games on Oculus Quest,14598,15.285437946295154,0.0,4.199999999999999,0.0,0.0,0,0,0,1,0,0,0.43696362604222305,Healer's Quest,Adventure | Fighting | Indie | RPG | Strategy,Windows PC | Nintendo Switch,2.8,"Apr 18, 2018"
Best VR-exclusive games on Oculus Quest,37046,13.875812575899596,0.0,5.4,0.0,0.0,0,0,0,1,0,0,0.35144597635347397,Aveyond 1: Rhen's Quest,"['Adventure', 'RPG']",['Windows PC'],3.6,"Jan 19, 2006"
Best VR-exclusive games on Oculus Quest,5708,11.898817869700624,0.0,5.4,0.0,0.0,0,0,0,1,0,0,0.055066136119972235,Ancient Dungeon VR,"['Adventure', 'Indie', 'RPG']","['Windows PC', 'Oculus Quest', 'Oculus Quest 2']",3.6,"Nov 03, 2021"
Best VR-exclusive games on Oculus Quest,11865,0.0,0.2696471810340881,5.1,0.0,0.0,0,0,0,1,0,0,-0.2531856368108857,Aircar,['Indie'],['Windows PC'],3.4,"Aug 17, 2019"
Best VR-exclusive games on Oculus Quest,17158,10.762530209748222,0.0,0.0,0.0,0.0,0,0,0,1,0,0,-0.26507605474973933,Pirate Flight VR,Arcade | Racing,PlayStation VR,,"May 01, 2018"
Best city management sims for budget PCs,8099,12.018247569408391,0.0,5.25,0.0,0.0,0,0,0,1,0,0,0.9921320810086075,The Sims 2: Nightlife,Adventure | RPG | Simulator | Strategy,Windows PC | Mac,3.5,"Sep 13, 2005"
Best city management sims for budget PCs,452,14.390380868993503,0.0,4.5,0.0,0.0,0,0,0,1,0,0,0.7251553511363471,The Sims 4,"['RPG', 'Simulator']","['Windows PC', 'Mac', 'PlayStation 4', 'Xbox One', 'PlayStation 5', 'Xbox Series']",3.0,"Sep 02, 2014"
Best city management sims for budget PCs,5998,13.22074671113104,0.0,5.25,0.0,0.0,0,0,0,1,0,0,0.6375025074954493,Disgaea PC,"['RPG', 'Strategy', 'Tactical', 'Turn Based Strategy']",['Windows PC'],3.5,"Feb 24, 2016"
Best city management sims for budget PCs,8674,14.573307768843922,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0.5627626168936,The Sims 3: Starter Pack,['Simulator'],"['Windows PC', 'Mac']",,"May 14, 2013"
Best city management sims for budget PCs,818,12.80494115336105,0.0,5.25,0.0,0.0,0,0,0,1,0,0,0.4957998848799028,The Sims 3,"['Adventure', 'RPG', 'Simulator', 'Strategy']","['Windows PC', 'Mac', 'Xbox 360', 'PlayStation 3']",3.5,"Jun 02, 2009"
Best city management sims for budget PCs,25661,13.234005139902482,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0.34612632153009504,Detonate,['Simulator'],['Windows PC'],,"Dec 31, 2009"
Best city management sims for budget PCs,25400,12.432560770860796,0.0,4.949999999999999,0.0,0.0,0,0,0,1,0,0,0.3328673246474436,The Sims 4: City Living,Adventure | RPG | Simulator,Windows PC | Mac | PlayStation 4 | Xbox One | PlayStation 5 | Xbox Series,3.3,"Nov 01, 2016"
Best city management sims for budget PCs,23994,12.364319004917366,0.0,4.949999999999999,0.0,0.0,0,0,0,1,0,0,0.3328673246474436,The Sims 2: FreeTime,Adventure | RPG | Simulator | Strategy,Windows PC,3.3,"Feb 28, 2008"
Best city management sims for budget PCs,34942,12.114592558925375,0.0,3.75,0.0,0.0,1,0,0,1,0,0,-0.14973698208876002,Farming Simulator 14,['Simulator'],"['Android', 'iOS', 'Nintendo 3DS', 'Windows Phone', 'PlayStation Vita', 'New Nintendo 3DS']",2.5,"Nov 18, 2013"
Best city management sims for budget PCs,14441,12.70846695258968,0.0,4.800000000000001,0.0,,1,0,0,1,0,0,-0.1718128855772219,The Sims 4: Everyday Clutter Kit,['Simulator'],['Windows PC'],3.2,TBD
Best comedic dungeon crawlers with loot systems,24615,9.13283007946899,0.0,0.0,0.0,0.0,0,0,0,1,0,0,1.093022601158963,Dungeon Hunter,['Shooter'],['MSX'],,"Feb 01, 1991"
Best comedic dungeon crawlers with loot systems,26090,9.13283007946899,0.0,0.0,0.0,0.0,0,0,0,1,0,0,1.093022601158963,Dungeon Village 2,"['Adventure', 'Indie', 'RPG', 'Simulator', 'Strategy']","['Windows PC', 'PlayStation 4', 'iOS']",,"Mar 11, 2021"
Best comedic dungeon crawlers with loot systems,14652,10.35184757287585,0.0,4.800000000000001,0.0,0.0,0,0,3,1,0,0,0.9791642358161206,Boyfriend Dungeon,Adventure | Indie | RPG | Simulator,Windows PC | Mac | Linux | Xbox One | PlayStation 5 | Nintendo Switch,3.2,"Aug 11, 2021"
Best comedic dungeon crawlers with loot systems,5708,10.14451922733833,0.0,5.4,0.0,0.0,0,0,2,1,0,0,0.8372830397553823,Ancient Dungeon VR,"['Adventure', 'Indie', 'RPG']","['Windows PC', 'Oculus Quest', 'Oculus Quest 2']",3.6,"Nov 03, 2021"
Best comedic dungeon crawlers with loot systems,26645,16.89644996847173,0.0,0.0,0.0,0.0,0,0,2,1,0,0,0.7949467681224903,Hashtag Dungeon,Adventure | Indie | RPG,Windows PC,,"Jun 01, 2016"
Best comedic dungeon crawlers with loot systems,39702,16.478386289257884,0.0,0.0,0.0,0.0,0,0,2,1,0,0,0.7949467681224903,Dungeon Delver,Indie | RPG | Strategy,Windows PC,,"Mar 15, 2021"
Best comedic dungeon crawlers with loot systems,7774,10.44517986543078,0.0,0.0,0.0,0.0,0,0,2,1,0,0,0.7769927052233783,Dungeon Girl Scouts,Adventure,Web browser,,"Mar 10, 2019"
Best comedic dungeon crawlers with loot systems,12387,0.0,0.3633495569229126,0.0,0.0,0.0,0,0,0,1,0,0,0.5513882447830005,Blaster Bunny +,[],['Windows PC'],,"Nov 17, 2019"
Best comedic dungeon crawlers with loot systems,17850,13.80582988466101,0.0,0.0,0.0,0.0,0,0,2,1,0,0,0.46237021280270063,Tales of the World: Narikiri Dungeon 2,['RPG'],['Game Boy Advance'],,"Nov 25, 2002"
Best comedic dungeon crawlers with loot systems,6216,15.576085462647756,0.0,3.4499999999999997,0.0,0.0,0,0,0,1,0,0,0.43696362604222305,Cave Crawler,Adventure | Indie | Platform | Shooter,Windows PC | Mac,2.3,"Jan 23, 2022"
Best comedic point-and-click adventures,39008,20.03657427306844,0.0,0.0,0.0,0.0,0,0,3,1,0,0,0.9118978317891633,Keineged an nor,Adventure | Point-and-Click,Web browser,,"Oct 04, 2018"
Best comedic point-and-click adventures,13327,0.0,0.594721794128418,0.0,0.0,0.0,0,0,0,1,0,0,0.8941642478877367,The Happy Dismal Town,Adventure,Windows PC,,"Dec 22, 2021"
Best comedic point-and-click adventures,39815,10.114055610482064,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0.8890346397021163,DobbyxEscape: Pirate Adventure,"['Adventure', 'Indie', 'Puzzle']",['Nintendo Switch'],,"Apr 27, 2023"
Best comedic point-and-click adventures,27577,22.782530362281697,0.0,0.0,0.0,0.0,0,0,3,1,0,0,0.8299031707179821,78641: A Targ Adventure,Adventure | Point-and-Click,Windows PC,,"Aug 25, 2009"
Best comedic point-and-click adventures,13506,18.83160868226337,0.0,0.0,0.0,0.0,0,0,2,1,0,0,0.6883386168348717,Alchemia,Adventure | Indie | Point-and-Click | Puzzle,Web browser,,"Sep 07, 2009"
Best comedic point-and-click adventures,37995,15.27681490834316,0.0,0.0,0.0,0.0,0,0,2,1,0,0,0.6258688839924088,Nancy the Happy Whore and the Perfidious Petrol Station,Adventure | Point-and-Click,Windows PC,,"Aug 12, 2012"
Best comedic point-and-click adventures,29570,15.27681490834316,0.0,0.0,0.0,0.0,0,0,3,1,0,0,0.6258688839924088,MazeBrew,Adventure | Point-and-Click,Mac,,"Dec 31, 1994"
Best comedic point-and-click adventures,3819,13.35862853825095,0.0,4.800000000000001,0.0,0.0,0,0,0,1,0,0,0.5353472531189472,Bonk's Adventure,Platform,Wii U | Wii | Amiga | NES | Game Boy | TurboGrafx-16/PC Engine,3.2,"Dec 15, 1989"
Best comedic point-and-click adventures,12805,10.105023669684591,0.0,5.1,0.0,0.0,0,0,0,1,0,0,0.5115240256614131,Gibbous: A Cthulhu Adventure,"['Adventure', 'Indie', 'Point-and-Click', 'Puzzle']","['Windows PC', 'Mac', 'Linux', 'Nintendo Switch']",3.4,"Aug 07, 2019"
Best comedic point-and-click adventures,18231,18.000640095834715,0.0,4.199999999999999,0.0,0.0,0,0,0,1,0,0,0.46199751929573035,Fire: Ungh's Quest,Adventure | Puzzle,Wii U | Nintendo Switch,2.8,"Oct 20, 2016"
Best open-world RPG titles for Xbox Series X,33411,12.6164728479478,0.0,0.0,0.0,0.0,0,0,0,1,0,0,1.3491282420539332,World-Splitter,Adventure | Arcade | Indie | Platform | Puzzle,Windows PC | PlayStation 4 | Xbox One | PlayStation 5 | Nintendo Switch,,"Apr 21, 2021"
Best open-world RPG titles for Xbox Series X,32204,19.39800589983005,0.0,5.4,0.0,0.0,0,0,0,1,0,0,0.6909810635134948,Open Sorcery,"['Adventure', 'Indie', 'RPG']","['Windows PC', 'Mac', 'Linux', 'iOS']",3.6,"May 06, 2016"
Best open-world RPG titles for Xbox Series X,9628,12.381334524012145,0.0,5.85,0.0,0.0,1,0,0,1,0,0,0.33075575772371046,RPG Maker XP,['RPG'],['Windows PC'],3.9,"Jul 22, 2004"
Best open-world RPG titles for Xbox Series X,2621,17.57685244408323,0.0,2.55,0.0,0.0,0,0,0,1,0,0,0.1639260300510218,YIIK: A Postmodern RPG,"['Adventure', 'Indie', 'RPG']","['Windows PC', 'Mac', 'PlayStation 4', 'iOS', 'Nintendo Switch']",1.7,"Jan 17, 2019"
Best open-world RPG titles for Xbox Series X,2723,10.76141589866531,0.0,5.85,0.0,0.0,0,0,0,1,0,0,0.12263001717814112,Minecraft: Xbox 360 Edition,,Xbox 360,3.9,"May 09, 2012"
Best open-world RPG titles for Xbox Series X,7763,9.61072889745858,0.0,3.5999999999999996,0.0,0.0,0,0,0,1,0,0,0.10960196907530331,Open World Game: The Open World Game,Adventure | Indie | RPG,Windows PC,2.4,"Nov 19, 2019"
Best open-world RPG titles for Xbox Series X,11896,12.150393585768931,0.0,6.1499999999999995,0.0,0.0,0,0,0,1,0,0,-0.14762541516502686,Open Fortress,Shooter,Windows PC,4.1,"May 31, 2022"
Best open-world RPG titles for Xbox Series X,17850,0.0,0.5230169892311096,0.0,0.0,0.0,1,0,0,1,0,0,-0.20030364228092082,Tales of the World: Narikiri Dungeon 2,['RPG'],['Game Boy Advance'],,"Nov 25, 2002"
Best open-world RPG titles for Xbox Series X,37700,12.295974228436137,0.0,0.0,0.0,0.0,1,0,0,1,0,0,-0.2934975940585785,Space RPG 3,['RPG'],['Android'],,"May 20, 2017"
Best open-world RPG titles for Xbox Series X,35721,0.0,0.4877942204475403,0.0,0.0,0.0,1,0,0,1,0,0,-0.41491915757981124,Tales of Shadowland,['RPG'],['Windows PC'],,"Nov 16, 2021"
Best party games for local multiplayer,39152,14.255834482474354,0.0,0.0,0.0,0.0,0,0,0,1,0,0,1.0044670648031746,Super Hop 'N' Bop Ultra,['Indie'],['Windows PC'],,"Oct 17, 2016"
Best party games for local multiplayer,37404,0.0,0.372031569480896,0.0,0.0,0.0,0,0,0,1,0,0,0.5513882447830005,Racers' Islands: Crazy Arenas,['Racing'],['Wii'],,"Oct 22, 2010"
Best party games for local multiplayer,26725,17.28957746001717,0.0,2.8499999999999996,0.0,0.0,0,0,0,1,0,0,0.3079700209275962,Watermelon Party,['Puzzle'],['Nintendo Switch'],1.9,"May 31, 2019"
Best party games for local multiplayer,6224,9.184171371632656,0.0,2.8499999999999996,0.0,0.0,0,0,0,1,0,0,0.29866496121493274,Disney's Party,['Platform'],['Nintendo GameCube'],1.9,"Aug 01, 2002"
Best party games for local multiplayer,2826,8.637596200971734,0.0,3.75,0.0,0.0,0,0,0,1,0,0,0.05861013879282356,Mario Party Advance,"['Card & Board Game', 'Quiz/Trivia']","['Wii U', 'Game Boy Advance']",2.5,"Jan 13, 2005"
Best party games for local multiplayer,18406,0.0,0.3851563632488251,0.0,0.0,,0,0,0,1,0,0,-0.03659642195069386,,,,,
Best party games for local multiplayer,28467,11.436974978541889,0.0,0.0,0.0,0.0,1,0,0,1,0,0,-0.2962100142277249,Beach Party Craze,[],['Nintendo DSi'],,"Jun 16, 2011"
Best party games for local multiplayer,27137,0.0,0.3518904447555542,0.0,0.0,0.0,1,0,0,1,0,0,-0.41491915757981124,Discsphere,[],['Windows PC'],,"May 21, 2019"
Best party games for local multiplayer,30484,11.022213561129767,0.0,3.0,0.0,0.0,0,0,0,1,0,0,-0.5112065621584174,Mario Party-e,"['Arcade', 'Puzzle']",['Game Boy Advance'],2.0,"Feb 18, 2003"
Best party games for local multiplayer,29620,0.0,0.3814280331134796,0.0,0.0,,1,1,0,1,0,0,-0.9026899393940381,Heroes of the Dungeon,[],[],,TBD
Best puzzle-adventure games for Nintendo Switch Lite,22107,13.111249961139276,0.0,0.0,0.0,0.0,0,0,2,1,0,0,0.8588378611438432,Mujo,['Puzzle'],['Nintendo Switch'],,"Nov 30, 2017"
Best puzzle-adventure games for Nintendo Switch Lite,35632,14.96606927356672,0.0,0.0,0.0,0.0,0,0,2,1,0,0,0.7984547461017886,Tetra for Nintendo Switch: International Edition,Adventure | Puzzle,Nintendo Switch,,"Oct 14, 2021"
Best puzzle-adventure games for Nintendo Switch Lite,18496,16.420541031141394,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0.7949467681224903,Aviation Adventure,['Point-and-Click'],"['Windows PC', 'Mac']",,"Dec 31, 1997"
Best puzzle-adventure games for Nintendo Switch Lite,26294,29.78149080859879,0.0,0.0,0.0,0.0,0,0,2,1,0,0,0.7089144723407282,Bingo for Nintendo Switch,Puzzle,Nintendo Switch,,"Mar 15, 2018"
Best puzzle-adventure games for Nintendo Switch Lite,38570,28.918760094233768,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0.7089144723407282,Animal Puzzle Adventure,['Puzzle'],['Nintendo DSi'],,"Jun 24, 2009"
Best puzzle-adventure games for Nintendo Switch Lite,3819,14.18022329132271,0.0,4.800000000000001,0.0,0.0,0,0,0,1,0,0,0.6514496455348807,Bonk's Adventure,Platform,Wii U | Wii | Amiga | NES | Game Boy | TurboGrafx-16/PC Engine,3.2,"Dec 15, 1989"
Best puzzle-adventure games for Nintendo Switch Lite,29877,16.035592093654824,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0.6258688839924088,Karian Cross,Puzzle,Arcade,,"May 04, 1997"
Best puzzle-adventure games for Nintendo Switch Lite,39815,14.686243268017533,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0.5627626168936,DobbyxEscape: Pirate Adventure,"['Adventure', 'Indie', 'Puzzle']",['Nintendo Switch'],,"Apr 27, 2023"
Best puzzle-adventure games for Nintendo Switch Lite,15903,14.452585915045113,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0.5627626168936,AngerForce: Reloaded for Nintendo Switch,"['Adventure', 'Arcade', 'RPG', 'Shooter']",['Nintendo Switch'],,"Mar 31, 2019"
Best puzzle-adventure games for Nintendo Switch Lite,12029,14.00495973131473,0.0,4.050000000000001,0.0,0.0,1,0,0,1,0,0,0.44259486022438244,OneBit Adventure,"['Adventure', 'Arcade', 'Indie', 'Strategy']","['Windows PC', 'Android', 'Mac', 'iOS']",2.7,"Aug 01, 2019"
Best single-player games under 10 hours long,35394,7.931502483513225,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0.5914412428465903,That Smiling Game,Indie | Point-and-Click,Web browser,,"Mar 08, 2020"
Best single-player games under 10 hours long,25745,9.711318018861048,0.0,0.0,0.0,,1,1,0,1,0,0,0.5437382374611062,Zombie Pixel Zombie,[],[],,TBD
Best single-player games under 10 hours long,34929,7.693120024961268,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0.415586656279557,10 Minute Space Strategy,"['Strategy', 'Turn Based Strategy']",['Windows PC'],,"Dec 31, 2011"
Best single-player games under 10 hours long,17916,8.10281411594742,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0.3301575238862436,A Game With a Kitty,Platform,Windows PC,,"Jun 24, 2005"
Best single-player games under 10 hours long,19704,0.0,0.3840286135673523,0.0,0.0,,0,0,0,1,0,0,-0.03659642195069386,,,,,
Best single-player games under 10 hours long,3273,8.459064278779767,0.0,4.800000000000001,0.0,0.0,0,0,0,1,0,0,-0.20896376675067324,The Long Drive,Adventure | Indie | Simulator,Windows PC,3.2,"Sep 25, 2019"
Best single-player games under 10 hours long,27137,0.0,0.3831272423267364,0.0,0.0,0.0,1,0,0,1,0,0,-0.41491915757981124,Discsphere,[],['Windows PC'],,"May 21, 2019"
Best single-player games under 10 hours long,36926,0.0,0.3841162919998169,0.0,0.0,,1,1,0,1,0,0,-0.9026899393940381,Cool army games for kids 6 year old and under boys,[],[],,TBD
Best single-player games under 10 hours long,28519,0.0,0.379715085029602,0.0,0.0,,1,1,0,1,0,0,-0.9026899393940381,Digger - Classic arcade game,[],[],,TBD
Best single-player games under 10 hours long,40184,0.0,0.3785713315010071,0.0,0.0,,1,1,0,1,0,0,-0.9026899393940381,Stealth Inc. 2: A Game of Clones Deluxe,[],[],,TBD
Best tower defense titles on tablet or phone,9555,19.64140668555895,0.0,4.949999999999999,0.0,0.0,1,0,1,1,0,0,0.9332716804172052,Bloons Tower Defense 4,[],['Web browser'],3.3,"Oct 26, 2009"
Best tower defense titles on tablet or phone,37885,20.818653590114184,0.0,0.0,0.0,0.0,1,0,1,1,0,0,0.8304202237068896,Nine Nines,[],"['Windows PC', 'Mac', 'Linux']",,"Jul 23, 2018"
Best tower defense titles on tablet or phone,8450,22.12253482446405,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0.8299031707179821,Citywars Tower Defense,Adventure | Arcade | RPG | Strategy,Windows PC | Mac | Linux,,"Mar 04, 2022"
Best tower defense titles on tablet or phone,22589,16.844641346771933,0.0,0.0,0.0,0.0,0,0,2,1,0,0,0.7949467681224903,Time Defenders,"['RPG', 'Strategy']","['Android', 'iOS']",,"Aug 26, 2021"
Best tower defense titles on tablet or phone,27309,30.78716721462018,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0.7089144723407282,Timewalk Tower Defense,['Strategy'],['Windows PC'],,"Jan 01, 2021"
Best tower defense titles on tablet or phone,21571,11.933157689470026,0.0,3.1500000000000004,0.0,0.0,0,0,1,1,0,0,0.6940605917638991,Tower Wars,Indie | Real Time Strategy | Strategy,Windows PC | Mac,2.1,"Jul 02, 2012"
Best tower defense titles on tablet or phone,22727,15.110595393562413,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0.6258688839924088,Creature Defense,['Strategy'],['PlayStation Portable'],,"Oct 30, 2009"
Best tower defense titles on tablet or phone,17722,0.0,0.3553732633590698,0.0,0.0,0.0,0,0,0,1,0,0,0.5513882447830005,Kingdom Rush Origins HD,['Strategy'],['iOS'],,"Nov 20, 2014"
Best tower defense titles on tablet or phone,39853,9.957405271210094,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0.5417454571728721,Secret Tower VIP,['RPG'],['Android'],,"Jan 13, 2017"
Best tower defense titles on tablet or phone,39906,9.998130456244429,0.0,0.0,0.0,,0,1,0,1,0,0,0.43047706822964116,Glennhaven,"['Indie', 'Shooter']",[],,TBD
Building and crafting games like Minecraft,16588,13.227023145131188,0.0,0.0,0.0,0.0,0,0,3,0,0,0,0.8588378611438432,Minecraft: Buzzy Bees,Adventure | Simulator,Windows PC | Android | Mac | Linux | PlayStation 4 | iOS | Windows Phone | Xbox One | Amazon Fire TV | Nintendo Switch | Gear VR,2.7,"Dec 10, 2019"
Building and crafting games like Minecraft,7029,10.419093247761284,0.0,0.0,0.0,0.0,0,0,3,0,0,0,0.7769927052233783,Minecraft 1.9: Combat Update,Adventure | Simulator,Windows PC | Mac | Linux,2.6,"Feb 29, 2016"
Building and crafting games like Minecraft,35394,7.931502483513225,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.5914412428465903,That Smiling Game,Indie | Point-and-Click,Web browser,,"Mar 08, 2020"
Building and crafting games like Minecraft,2723,7.910698036814715,0.0,0.0,0.0,0.0,0,0,3,0,0,0,0.5914412428465903,Minecraft: Xbox 360 Edition,,Xbox 360,3.9,"May 09, 2012"
Building and crafting games like Minecraft,1454,7.822218198072497,0.0,0.0,0.0,0.0,0,0,3,0,0,0,0.5914412428465903,Minecraft: Story Mode,Adventure,Windows PC | Android | Mac | Wii U | Xbox 360 | PlayStation 4 | iOS | PlayStation 3 | Web browser | Xbox One | PlayStation Vita | Nintendo Switch,2.4,"Oct 13, 2015"
Building and crafting games like Minecraft,5374,0.0,0.3671059012413025,0.0,0.0,0.0,0,0,0,0,0,0,0.5513882447830005,RPG in a Box,,Windows PC,,"May 11, 2022"
